PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
55909|767|1.0|3|
55912|771|1.0|3|
55922|769|1.0|3|
56092|779|1.0|3|
56095|781|1.0|3|
56110|781|1.0|3|
56219|788|1.0|3|
56219|789|100.0|3|
2770|462|1.0|3|
2770|463|1.0|3|
43353|123|1.0|3|
43353|124|1.0|3|
43353|125|1.0|3|
58662|46|20.0|3|
58953|911|5.0|3|
59106|922|1.0|3|
59118|923|1.0|3|
59207|926|1.0|3|
59207|927|1.0|3|
59207|928|1.0|3|
59230|930|1.0|3|
13838|487|2.0|3|
20239|778|1.0|3|
54367|552|100.0|3|
58914|906|1.0|3|
58916|907|1.0|3|
59028|915|1.0|3|
59099|916|2.0|3|
59099|917|4.0|3|
59099|918|2.0|3|
59099|919|2.0|3|
59178|992|1.0|3|
59213|929|1.0|3|
59874|411|1.0|3|
60256|952|1.0|3|
60259|953|1.0|3|
60707|974|1.0|3|
61049|993|1.0|3|
61050|994|2.0|3|
61050|995|4.0|3|
61050|996|2.0|3|
61050|997|2.0|3|
52210|1014|60.0|3|
52210|1015|60.0|3|
59889|949|5.0|3|
61072|1018|2.0|3|
61264|1000|1.0|3|
61431|1005|80.0|3|
61540|465|1.0|3|
61540|466|2.0|3|
61540|467|1.0|3|
61541|468|1.0|3|
61541|469|2.0|3|
61541|470|1.0|3|
61542|471|1.0|3|
61542|472|1.0|3|
61542|473|2.0|3|
61556|1007|1.0|3|
61579|1008|25.0|3|
61584|1009|25.0|3|
61701|1012|15.0|3|
53457|309|1.0|3|
53457|310|1.0|3|
58937|908|3.0|2|
62076|1016|3.0|3|
62217|1017|1.0|3|
62284|1019|2.0|3|
62285|1020|2.0|3|
62367|1023|2.0|3|
62368|1024|2.0|3|
62369|1025|2.0|3|
62370|1026|2.0|3|
62403|1030|1.0|3|
62403|1031|6.0|3|
62406|1029|7.0|3|
62426|1033|8.0|3|
62429|1034|1.0|3|
62430|1035|2.0|3|
62430|1036|4.0|3|
62430|1037|2.0|3|
62430|1038|2.0|3|
42512|920|1.0|3|
42512|921|1.0|3|
59179|925|1.0|3|
59518|935|1.0|3|
59520|936|1.0|3|
59804|945|1.0|3|
59804|946|1.0|3|
59804|947|1.0|3|
59805|945|1.0|3|
59805|946|1.0|3|
59805|947|1.0|3|
59806|945|1.0|3|
59806|946|1.0|3|
59806|947|1.0|3|
59807|945|1.0|3|
59807|946|1.0|3|
59807|947|1.0|3|
60347|1039|1.0|3|
60721|1048|1.0|3|
60722|1048|1.0|3|
60962|1049|1.0|3|
62489|1040|1.0|3|
62490|1041|2.0|3|
62490|1042|4.0|3|
62490|1043|2.0|3|
62490|1044|2.0|3|
62526|1046|2.0|3|
62526|1047|1.0|3|
35814|1054|10.0|3|
56926|816|180.0|2|
56926|817|1.0|3|
59027|914|1.0|3|
59140|924|1.0|3|
63069|336|1.0|3|
63078|1052|1.0|3|
63078|1053|1.0|3|
53416|300|1.0|3|
56758|806|1.0|3|
57699|1059|1.0|3|
63282|1056|12.0|3|
63474|1060|1.0|3|
63474|1061|1.0|3|
63475|1062|1.0|3|
63475|1063|1.0|3|
63485|1064|1.0|3|
63485|1065|1.0|3|
63485|1066|1.0|3|
63486|1067|1.0|3|
63486|1068|1.0|3|
63486|1069|1.0|3|
63487|1070|1.0|3|
63487|1071|1.0|3|
63487|1072|1.0|3|
19090|1233|33.0|3|
54630|1201|14.0|3|
54630|1202|28.0|3|
63581|1074|100.0|3|
63584|1076|1.0|3|
63608|1099|50.0|3|
63639|1132|10.0|3|
63673|1152|50.0|3|
63674|1153|1.0|3|
63674|1154|1.0|3|
63674|1155|10.0|3|
63745|1196|1.0|3|
63745|1197|2.0|3|
63746|1196|4.0|3|
63746|1197|8.0|3|
63782|1185|10.0|3|
63921|1203|1.0|3|
63963|1204|1.0|3|
64019|1212|1.0|3|
64019|1213|1.0|3|
64019|1214|2.0|3|
64137|1234|1.0|3|
64138|1234|6.0|3|
64215|1241|1.0|3|
64263|1249|1.0|3|
64265|1251|14.0|3|
64266|1250|1.0|3|
64268|1252|1.0|3|
64269|1253|1.0|3|
64272|1254|1.0|3|
64274|1255|1.0|3|
64275|1256|1.0|3|
64276|1257|1.0|3|
64277|1258|1.0|3|
64280|1259|1.0|3|
64281|1260|1.0|3|
64282|1261|1.0|3|
64283|1262|1.0|3|
64284|1263|1.0|3|
64285|1264|1.0|3|
64286|1265|1.0|3|
64287|1266|1.0|3|
64288|1267|1.0|3|
16354|51|1.0|3|
57002|1438|3.0|3|
57671|855|3.0|3|
57672|856|1.0|3|
58330|886|1.0|3|
63576|1073|10.0|3|
63582|1075|200.0|3|
